Date : 2026-09-15 21:16:13
Directory : /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app
Total : 104 files,  16384 codes, 215 comments, 1195 blanks, all 17794 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         70 |      7,525 |        147 |        843 |      8,515 |
| JSON               |          2 |      6,949 |          0 |          2 |      6,951 |
| TypeScript         |         19 |      1,743 |         64 |        313 |      2,120 |
| PostCSS            |          1 |         66 |          0 |         10 |         76 |
| JSON with Comments |          1 |         34 |          0 |          1 |         35 |
| Markdown           |          3 |         27 |          2 |         20 |         49 |
| XML                |          6 |         20 |          0 |          1 |         21 |
| JavaScript         |          2 |         20 |          2 |          5 |         27 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |        104 |     16,384 |        215 |      1,195 |     17,794 |
| . (Files)                                                                                                        |         11 |      7,182 |          7 |         47 |      7,236 |
| app                                                                                                              |         38 |      2,958 |         45 |        365 |      3,368 |
| app (Files)                                                                                                      |          4 |        338 |          1 |         39 |        378 |
| app/aboutPage                                                                                                    |          1 |          8 |          0 |          2 |         10 |
| app/account                                                                                                      |          1 |        151 |          0 |         19 |        170 |
| app/admin                                                                                                        |          8 |        529 |         19 |         52 |        600 |
| app/admin (Files)                                                                                                |          2 |        155 |          2 |         15 |        172 |
| app/admin/bookings                                                                                               |          2 |        106 |          4 |          8 |        118 |
| app/admin/listings                                                                                               |          2 |        146 |          8 |         20 |        174 |
| app/admin/users                                                                                                  |          2 |        122 |          5 |          9 |        136 |
| app/allListings                                                                                                  |          1 |        287 |          0 |         31 |        318 |
| app/apartments                                                                                                   |          1 |        149 |          0 |         13 |        162 |
| app/apartments/[id]                                                                                              |          1 |        149 |          0 |         13 |        162 |
| app/api                                                                                                          |          1 |         51 |         10 |         12 |         73 |
| app/api/admin                                                                                                    |          1 |         51 |         10 |         12 |         73 |
| app/api/admin/stats                                                                                              |          1 |         51 |         10 |         12 |         73 |
| app/auth                                                                                                         |          1 |         39 |          0 |         10 |         49 |
| app/auth/callback                                                                                                |          1 |         39 |          0 |         10 |         49 |
| app/check-email                                                                                                  |          1 |         33 |          0 |          6 |         39 |
| app/complete-profile                                                                                             |          1 |        159 |          0 |         23 |        182 |
| app/forbidden                                                                                                    |          1 |         16 |          0 |          2 |         18 |
| app/forgot-password                                                                                              |          1 |         80 |          0 |         14 |         94 |
| app/host                                                                                                         |          7 |        644 |          6 |         79 |        729 |
| app/host (Files)                                                                                                 |          2 |         71 |          2 |          7 |         80 |
| app/host/listings                                                                                                |          3 |        204 |          4 |         30 |        238 |
| app/host/listings (Files)                                                                                        |          1 |        113 |          2 |         20 |        135 |
| app/host/listings/[id]                                                                                           |          1 |         77 |          1 |          9 |         87 |
| app/host/listings/[id]/edit                                                                                      |          1 |         77 |          1 |          9 |         87 |
| app/host/listings/new                                                                                            |          1 |         14 |          1 |          1 |         16 |
| app/host/onboarding                                                                                              |          1 |        260 |          0 |         30 |        290 |
| app/host/pending-review                                                                                          |          1 |        109 |          0 |         12 |        121 |
| app/lib                                                                                                          |          6 |         99 |          6 |         19 |        124 |
| app/lib (Files)                                                                                                  |          2 |         35 |          2 |          8 |         45 |
| app/lib/supabase                                                                                                 |          4 |         64 |          4 |         11 |         79 |
| app/reset-password                                                                                               |          1 |        119 |          0 |         15 |        134 |
| app/signin                                                                                                       |          1 |          9 |          0 |          2 |         11 |
| app/signup                                                                                                       |          1 |        247 |          3 |         27 |        277 |
| components                                                                                                       |         48 |      6,184 |        163 |        779 |      7,126 |
| components (Files)                                                                                               |         16 |      4,248 |        128 |        591 |      4,967 |
| components/admin                                                                                                 |          7 |        318 |          7 |         33 |        358 |
| components/admin (Files)                                                                                         |          1 |         56 |          1 |          7 |         64 |
| components/admin/bookings                                                                                        |          2 |         73 |          2 |          9 |         84 |
| components/admin/listings                                                                                        |          2 |         82 |          2 |          8 |         92 |
| components/admin/users                                                                                           |          2 |        107 |          2 |          9 |        118 |
| components/appartmentDetails                                                                                     |         10 |        622 |         10 |         67 |        699 |
| components/host                                                                                                  |          3 |        334 |          4 |         24 |        362 |
| components/listings                                                                                              |         12 |        662 |         14 |         64 |        740 |
| components/listings (Files)                                                                                      |          9 |        528 |          8 |         46 |        582 |
| components/listings/Feartured                                                                                    |          1 |         40 |          6 |          6 |         52 |
| components/listings/Mombasa                                                                                      |          1 |         47 |          0 |          6 |         53 |
| components/listings/Nairobi                                                                                      |          1 |         47 |          0 |          6 |         53 |
| public                                                                                                           |          6 |         20 |          0 |          1 |         21 |
| types                                                                                                            |          1 |         40 |          0 |          3 |         43 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                         | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/AGENTS.md                                             | Markdown           |          3 |          2 |          5 |         10 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/CLAUDE.md                                             | Markdown           |          1 |          0 |          1 |          2 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/README.md                                             | Markdown           |         23 |          0 |         14 |         37 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/aboutPage/page.tsx                                | TypeScript JSX     |          8 |          0 |          2 |         10 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/account/page.tsx                                  | TypeScript JSX     |        151 |          0 |         19 |        170 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/bookings/actions.ts                         | TypeScript         |         26 |          3 |          3 |         32 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/bookings/page.tsx                           | TypeScript JSX     |         80 |          1 |          5 |         86 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/layout.tsx                                  | TypeScript JSX     |         35 |          1 |          5 |         41 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/listings/actions.ts                         | TypeScript         |         57 |          6 |          9 |         72 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/listings/page.tsx                           | TypeScript JSX     |         89 |          2 |         11 |        102 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/page.tsx                                    | TypeScript JSX     |        120 |          1 |         10 |        131 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/users/actions.ts                            | TypeScript         |         34 |          4 |          4 |         42 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/admin/users/page.tsx                              | TypeScript JSX     |         88 |          1 |          5 |         94 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/allListings/page.tsx                              | TypeScript JSX     |        287 |          0 |         31 |        318 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/apartments/[id]/page.tsx                          | TypeScript JSX     |        149 |          0 |         13 |        162 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/api/admin/stats/route.ts                          | TypeScript         |         51 |         10 |         12 |         73 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/auth/callback/route.ts                            | TypeScript         |         39 |          0 |         10 |         49 |
| /home/kelvinmutugi/projects/dominium_airbnb_next_js/my-app/app/check-email/page.tsx                              | TypeScript JSX     |         33 |          0 |          6 |         39 |
